序号,简体,繁体,康熙笔画,字义五行
1,丐,丐,4,木
2,亓,亓,4,木
3,五,五,4,木
4,亢,亢,4,木
5,今,今,4,木
6,介,介,4,木
7,元,元,4,木
8,公,公,4,木
9,勾,勾,4,木
10,匀,勻,4,木
11,卞,卞,4,木
12,及,及,4,木
13,孔,孔,4,木
14,斤,斤,4,木
15,月,月,4,木
16,木,木,4,木
17,牛,牛,4,木
18,丑,丑,4,火
19,中,中,4,火
20,丹,丹,4,火
21,之,之,4,火
22,井,井,4,火
23,仂,仂,4,火
24,仃,仃,4,火
25,仉,仉,4,火
26,六,六,4,火
27,内,內,4,火
28,午,午,4,火
29,天,天,4,火
30,太,太,4,火
31,尺,尺,4,火
32,屯,屯,4,火
33,支,支,4,火
34,斗,斗,4,火
35,日,日,4,火
36,火,火,4,火
37,予,予,4,土
38,允,允,4,土
39,切,切,4,土
40,厄,厄,4,土
41,友,友,4,土
42,夭,夭,4,土
43,尤,尤,4,土
44,尹,尹,4,土
45,引,引,4,土
46,王,王,4,土
47,什,什,4,金
48,仁,仁,4,金
49,仄,仄,4,金
50,仇,仇,4,金
51,仍,仍,4,金
52,兮,兮,4,金
53,冗,冗,4,金
54,刈,刈,4,金
55,升,升,4,金
56,少,少,4,金
57,心,心,4,金
58,手,手,4,金
59,才,才,4,金
60,不,不,4,水
61,互,互,4,水
62,分,分,4,水
63,勿,勿,4,水
64,化,化,4,水
65,匹,匹,4,水
66,卅,卅,4,水
67,反,反,4,水
68,壬,壬,4,水
69,夫,夫,4,水
70,巴,巴,4,水
71,幻,幻,4,水
72,户,戶,4,水
73,文,文,4,水
74,方,方,4,水
75,比,比,4,水
76,毛,毛,4,水
77,水,水,4,水
78,俱,俱,10,木
79,倌,倌,10,木
80,倏,倏,10,木
81,倚,倚,10,木
82,倥,倥,10,木
83,倦,倦,10,木
84,倨,倨,10,木
85,兼,兼,10,木
86,凇,凇,10,木
87,原,原,10,木
88,哥,哥,10,木
89,哭,哭,10,木
90,哮,哮,10,木
91,哽,哽,10,木
92,哿,哿,10,木
93,唁,唁,10,木
94,圄,圄,10,木
95,奚,奚,10,木
96,姬,姬,10,木
97,娟,娟,10,木
98,娩,娩,10,木
99,娱,娛,10,木
100,家,家,10,木
101,屐,屐,10,木
102,岂,豈,10,木
